index,Job Title,Location,Size,Founded,Type of ownership,Industry,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Python,hadoop,job_title_sim,Degree
0,Data Scientist,"Albuquerque, NM",501 - 1000 ,1973,Company   Private,Aerospace & Defense,53,91,72,Tecolote Research,NM,1,0,data scientist,M
1,Healthcare Data Scientist,"Linthicum, MD",10000+ ,1984,Other Organization,Health Care Services & Hospitals,63,112,87.5,University of Maryland Medical System,MD,1,0,data scientist,M
2,Data Scientist,"Clearwater, FL",501 - 1000 ,2010,Company   Private,Security Services,80,90,85,KnowBe4,FL,1,0,data scientist,M
3,Data Scientist,"Richland, WA",1001 - 5000 ,1965,Government,Energy,56,97,76.5,PNNL,WA,1,0,data scientist,None
4,Data Scientist,"New York, NY",51 - 200 ,1998,Company   Private,Advertising & Marketing,86,143,114.5,Affinity Solutions,NY,1,0,data scientist,None
5,Data Scientist,"Dallas, TX",201 - 500 ,2000,Company   Public,Real Estate,71,119,95,CyrusOne,TX,1,0,data scientist,None
6,Data Scientist,"Baltimore, MD",501 - 1000 ,2008,Company   Private,Banks & Credit Unions,54,93,73.5,ClearOne Advantage,MD,0,0,data scientist,None
7,Data Scientist,"San Jose, CA",201 - 500 ,2005,Company   Private,Consulting,86,142,114,Logic20/20,CA,1,0,data scientist,M
8,Research Scientist,"Rochester, NY",10000+ ,2014,Hospital,Health Care Services & Hospitals,38,84,61,Rochester Regional Health,NY,0,0,other scientist,P
10,Data Scientist,"San Jose, CA",501 - 1000 ,2011,Company   Private,Other Retail Stores,126,201,163.5,Wish,CA,1,0,data scientist,None
11,Data Scientist,"Chantilly, VA",5001 - 10000 ,1968,Company   Public,Research & Development,64,106,85,ManTech,VA,0,1,data scientist,None
12,Staff Data Scientist   Technology,"Plano, TX",10000+ ,1962,Company   Public,"Department, Clothing, & Shoe Stores",106,172,139,Walmart,TX,0,1,data scientist,M
13,Data Analyst,"Seattle, WA",201 - 500 ,2012,Company   Private,Advertising & Marketing,46,85,65.5,Yesler,WA,1,0,analyst,None
14,Data Scientist,"Cambridge, MA",10000+ ,1781,Company   Public,Biotech & Pharmaceuticals,83,144,113.5,Takeda Pharmaceuticals,MA,1,0,data scientist,M
15,Data Engineer I,"Newark, NJ",1001 - 5000 ,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,102,190,146,Audible,NJ,0,0,data engineer,None
16,"Scientist I/II, Biology","Cambridge, MA",51 - 200 ,2011,Company   Public,Biotech & Pharmaceuticals,67,137,102,Blueprint Medicines,MA,0,0,other scientist,P
17,Customer Data Scientist,"Mountain View, CA",201 - 500 ,2011,Company   Private,Enterprise Software & Network Solutions,118,189,153.5,h2o.ai,CA,1,1,data scientist,M
18,Data Scientist   Health Data Analytics,"San Francisco, CA",51 - 200 ,2010,Company   Private,Enterprise Software & Network Solutions,110,175,142.5,Nuna,CA,0,0,data scientist,None
19,Data Scientist,"Denver, CO",501 - 1000 ,1915,Nonprofit Organization,Insurance Carriers,64,111,87.5,Pinnacol Assurance,CO,1,0,data scientist,M
20,Data Scientist,"Seattle, WA",201 - 500 ,2012,Company   Private,Internet,81,130,105.5,Porch,WA,1,0,data scientist,M
21,Senior Data Scientist / Machine Learning,"Dallas, TX",201 - 500 ,2013,Company   Private,Insurance Agencies & Brokerages,73,119,96,Health IQ,TX,0,0,data scientist,P
22,Data Scientist   Quantitative,"Chicago, IL",501 - 1000 ,1995,Company   Private,Logistics & Supply Chain,86,139,112.5,Truckstop.com,IL,1,0,data scientist,M
23,Data Scientist,"Louisville, KY",51 - 200 ,1935,Nonprofit Organization,Logistics & Supply Chain,63,105,84,SMC 3,KY,1,0,data scientist,M
25,Data Scientist,"Herndon, VA",501 - 1000 ,2012,Company   Private,Enterprise Software & Network Solutions,109,177,143,Novetta,VA,1,0,data scientist,None
26,Digital Health Data Scientist,"Cambridge, MA",10000+ ,1849,Company   Public,Biotech & Pharmaceuticals,63,110,86.5,Pfizer,MA,1,0,data scientist,None
27,Data Scientist,"Hillsboro, OR",1001 - 5000 ,1952,Company   Private,Banks & Credit Unions,75,124,99.5,First Tech Federal Credit Union,OR,1,0,data scientist,None
28,Associate Data Analyst,"Worcester, MA",5001 - 10000 ,1852,Company   Public,Insurance Carriers,34,61,47.5,The Hanover Insurance Group,MA,0,0,analyst,None
29,Clinical Data Scientist,"Groton, CT",10000+ ,1849,Company   Public,Biotech & Pharmaceuticals,63,105,84,Pfizer,CT,0,0,data scientist,M
30,Data Scientist,"Clearwater, FL",501 - 1000 ,2010,Company   Private,Security Services,80,90,85,KnowBe4,FL,1,0,data scientist,M
31,Data Scientist,"Richland, WA",1001 - 5000 ,1965,Government,Energy,56,97,76.5,PNNL,WA,1,0,data scientist,None
32,Data Scientist,"Detroit, MI",1001 - 5000 ,1997,Company   Private,Real Estate,72,120,96,Amrock,MI,1,0,data scientist,M
33,Data Scientist / Machine Learning Expert,"Cambridge, MA",10000+ ,1996,Company   Public,Biotech & Pharmaceuticals,86,143,114.5,Novartis,MA,1,0,data scientist,None
34,Data Scientist,"Sunnyvale, CA",5001 - 10000 ,1996,Company   Public,Telecommunications Services,93,149,121,Juniper Networks,CA,1,0,data scientist,M
35,Data Scientist,"Ipswich, MA",201 - 500 ,1974,Company   Private,Biotech & Pharmaceuticals,85,140,112.5,New England Biolabs,MA,1,0,data scientist,None
36,Web Data Analyst,"San Jose, CA",201 - 500 ,2008,Company   Private,IT Services,77,135,106,Clarity Insights,CA,1,0,analyst,None
37,Data Scientist,"Redlands, CA",1001 - 5000 ,1969,Company   Private,Computer Hardware & Software,82,132,107,Esri,CA,1,1,data scientist,M
38,Data Scientist,"Woburn, MA",201 - 500 ,2010,Company   Private,Aerospace & Defense,83,137,110,Systems & Technology Research,MA,1,1,data scientist,P
39,Senior Data Scientist,"Fremont, CA",5001 - 10000 ,1870,Company   Public,Biotech & Pharmaceuticals,115,180,147.5,Sartorius,CA,1,0,data scientist,M
40,Data Engineer,"Long Beach, NY",201 - 500 ,1985,Company   Private,Insurance Carriers,74,138,106,Lancer Insurance,NY,1,0,data engineer,M
41,Data Analyst,"San Francisco, CA",201 - 500 ,2008,Company   Private,IT Services,64,112,88,Sauce Labs,CA,1,0,analyst,None
44,Data Scientist   Algorithms & Inference,"San Francisco, CA",51 - 200 ,2010,Company   Private,Enterprise Software & Network Solutions,110,175,142.5,Nuna,CA,0,0,data scientist,M
45,Scientist,"Allendale, NJ",5001 - 10000 ,2015,Company   Public,Consumer Products Manufacturing,52,113,82.5,Edgewell Personal Care,NJ,0,0,other scientist,M
46,Senior Data Scientist,"Chicago, IL",1001 - 5000 ,1993,Company   Public,Real Estate,110,150,130,Equity Residential,IL,1,1,data scientist,M
